DATE,Real Median Household Income in the US
01/01/1984,58930
01/01/1985,60050
01/01/1986,62280
01/01/1987,63060
01/01/1988,63530
01/01/1989,64610
01/01/1990,63830
01/01/1991,61960
01/01/1992,61450
01/01/1993,61150
01/01/1994,61800
01/01/1995,63770
01/01/1996,64710
01/01/1997,66050
01/01/1998,68470
01/01/1999,70210
01/01/2000,70020
01/01/2001,68870
01/01/2002,68310
01/01/2003,68350
01/01/2004,68250
01/01/2005,69310
01/01/2006,70080
01/01/2007,71210
01/01/2008,68780
01/01/2009,68340
01/01/2010,66730
01/01/2011,65750
01/01/2012,65740
01/01/2013,68220
01/01/2014,67360
01/01/2015,71000
01/01/2016,73520
01/01/2017,74810
01/01/2018,75790
01/01/2019,81210
01/01/2020,79560
01/01/2021,79260
01/01/2022,77540
01/01/2023,80610
